what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288095681750
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1288095690242
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095693663
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1288095706766
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095832000
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288095832414
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288095832473
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288095844380
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1288095857867
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1288095858026
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095864696
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095921254
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1288095925926
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1288095926101
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288095928120
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1288095937077
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095966482
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1288095966517
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095987458
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095995637
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1288095995674
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096017109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096022319
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096022397
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096022446
