what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1288097600105
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097609626
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1288097609691
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097609797
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097609830
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1288097616453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097688240
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1288097688276
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097716258
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097728584
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1288097728623
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097745989
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288097796069
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097815165
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097827871
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097828001
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097828001
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1288097830771
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097830772
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097835762
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097850338
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097850828
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097850861
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097856608
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097856743
