what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288094698872
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095133631
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1288095134312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095140939
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095170249
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288095170949
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288095170987
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1288095171159
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095176611
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095176744
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095182676
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095280246
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095308895
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095446239
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095452363
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095452474
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095452545
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095453889
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1288095456946
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288095522404
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1288095565334
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288095565335
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095566715
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288095667546
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288095681713
