what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288097058681
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097075236
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1288097091991
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097103008
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1288097103064
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097103169
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097103212
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1288097109862
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097123220
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1288097123263
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097137697
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097143679
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1288097143723
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097153416
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288097187707
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097192952
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097192952
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097196181
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097534620
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1288097534759
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097534760
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097536069
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288097536101
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288097550230
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097583799
