what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1288040817294
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1288040817295
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1288040817298
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1288040817302
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1288040817305
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1288040817306
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1288040817311
os,sysinfo,,,"win32",1288040817329
arch,sysinfo,,,"x86",1288040817329
ws,sysinfo,,,"win32",1288040817329
locale,sysinfo,,,"en_US",1288040817329
processors,sysinfo,,,"2",1288040817330
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1288040817330
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1288040817330
java.specification.name,sysinfo,,,"Java Platform API Specification",1288040817330
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288040817330
java.specification.version,sysinfo,,,"1.6",1288040817330
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1288040817330
java.version,sysinfo,,,"1.6.0_17",1288040817330
java.vm.info,sysinfo,,,"mixed mode",1288040817330
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1288040817330
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1288040817330
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288040817330
java.vm.specification.version,sysinfo,,,"1.0",1288040817330
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1288040817330
