what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097958697
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097958854
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097958902
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097960418
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097961073
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097961196
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288097979594
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097983955
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288098093710
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1288098093747
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288098099126
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1288098109061
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288098119812
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288098120246
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288098120289
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288098274609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288098274761
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288098307929
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288098308012
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288098308066
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288098309338
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288098331841
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288098342648
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288098603903
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288099015814
