what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1287960013305
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1287960013310
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1287960013339
os,sysinfo,,,"win32",1287960013414
arch,sysinfo,,,"x86",1287960013414
ws,sysinfo,,,"win32",1287960013414
locale,sysinfo,,,"en_US",1287960013414
processors,sysinfo,,,"2",1287960013414
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1287960013414
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1287960013414
java.specification.name,sysinfo,,,"Java Platform API Specification",1287960013414
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287960013414
java.specification.version,sysinfo,,,"1.6",1287960013414
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1287960013414
java.version,sysinfo,,,"1.6.0_17",1287960013414
java.vm.info,sysinfo,,,"mixed mode",1287960013414
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1287960013414
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1287960013414
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287960013414
java.vm.specification.version,sysinfo,,,"1.0",1287960013414
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1287960013414
java.vm.version,sysinfo,,,"14.3-b01",1287960013414
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1287960013863
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1287960013865
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1287960013953
