what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096023505
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1288096025779
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1288096027629
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288096030451
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1288096035759
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1288096036761
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288096038246
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1288096039576
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096089701
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096202769
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1288096207188
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096337234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096422528
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096426419
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096487471
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1288096500953
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1288096501081
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288096508042
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288096508042
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1288096509189
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288096509189
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288096521278
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288096521311
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288096591698
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1288097049041
